stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
7010950,2135,"Summit Hill Dr WB and Patton St","",35.970013,-83.913982,,,0,,,0,,
7010951,1733,"Hall of Fame Dr SB Mid-Block before Church Ave","",35.967894,-83.914634,,,0,,,0,,
7011652,1715,"Western Ave EB and News Sentinel Dr","",35.967825,-83.948558,,,0,,,0,,
7011655,1718,"Middlebrook Pk WB and Sutherland Ave","",35.962407,-83.947469,,,0,,,0,,
7011656,2400,"Middlebrook Pk WB and Mingle Ave","",35.964146,-83.956045,,,0,,,0,,
7011657,1717,"Middlebrook Pk WB before Loraine St","",35.963162,-83.961501,,,0,,,0,,
7011660,2770,"Middlebrook Pk WB and Clove Ln","",35.962497,-83.972273,,,0,,,0,,
7011661,2771,"Middlebrook Pk WB and Lonas Dr","",35.962296,-83.975895,,,0,,,0,,
7011850,1841,"Middlebrook Pk EB and 3rd Creek ","",35.96162,-83.989407,,,0,,,0,,
7011851,2772,"Middlebrook Pk EB and Lonas Dr","",35.962292,-83.976474,,,0,,,0,,
7011852,2773,"Middlebrook Pk EB after Clove Ln","",35.9624,-83.971667,,,0,,,0,,
7011853,2774,"Middlebrook Pk EB and Liberty St","",35.961311,-83.965678,,,0,,,0,,
7011854,2775,"Middlebrook Pk EB and Loraine St","",35.962837,-83.961715,,,0,,,0,,
7011856,1054,"State Office Bldg","",35.963945,-83.95673,,,0,,,0,,
7011857,1724,"Middlebrook Pk EB and Sutherland Ave","",35.962101,-83.947789,,,0,,,0,,
7011858,1725,"Western Ave WB and Reynolds St","",35.967736,-83.947887,,,0,,,0,,
7012403,2403,"Bridgewater Rd NB before Cross Park Dr","",35.925432,-84.072545,,,0,,,0,,
7012404,1611,"Cross Park Dr WB and Cross Creek Dr","",35.924603,-84.07998,,,0,,,0,,
7012405,2785,"Ten Mile Rd WB and Grayland Dr","",35.925351308815415,-84.0823515325756,,,0,,,0,,
7012406,1612,"Ten Mile Rd WB and Rhodora Rd","",35.92458,-84.084602,,,0,,,0,,
7012407,2404,"Ten Mile Rd WB and Park Village Rd","",35.923833,-84.086875,,,0,,,0,,
7012408,1613,"Park Village Dr NB past Ten Mile Rd","",35.925415,-84.087343,,,0,,,0,,
7012412,1616,"Cedar Bluff Rd SB and Sherrill Blvd","",35.923293,-84.093601,,,0,,,0,,
7012413,2478,"Sherrill Blvd WB at Christian Academy","",35.922609,-84.097103,,,0,,,0,,
7012414,1617,"Sherrill Blvd WB and Park West Blvd","",35.918883,-84.10286,,,0,,,0,,
7012415,2469,"Parkwest Medical Center S","",35.917575,-84.101955,,,0,,,0,,
7012416,2790,"Park West Blvd. at Physicians Plaza","",35.918213,-84.099058,,,0,,,0,,
7012417,2470,"Park West Blvd EB Mid-Block before Cedar Bluff Rd","",35.918962,-84.093521,,,0,,,0,,
7012418,2740,"Cedar Bluff Rd SB Mid-Block before Kingston Pike","",35.914097,-84.088066,,,0,,,0,,
7012419,1891,"N Seven Oaks NB Mid-Block before N Peters Rd","",35.910306,-84.099086,,,0,,,0,,
7012420,1023,"Windsor Square","",35.913354,-84.098518,,,0,,,0,,
7012746,1893,"N Peters Rd EB and Market Place Blvd","",35.914306,-84.093252,,,0,,,0,,
7012748,2546,"Park West Blvd WB and Park 40 Blvd","",35.918821,-84.094143,,,0,,,0,,
7012749,2791,"Park West Blvd. and 9333 Block","",35.918377,-84.098865,,,0,,,0,,
7012750,2547,"Parkwest Medical Center N","",35.918323,-84.101949,,,0,,,0,,
7012751,1618,"Park West Blvd WB and Sherrill Blvd","",35.918353,-84.103121,,,0,,,0,,
7012752,1619,"Sherrill Blvd EB and Park Forty Blvd","",35.922286,-84.097648,,,0,,,0,,
7012754,1620,"Cedar Bluff Rd NB before Dutchtown Rd","",35.924999,-84.093994,,,0,,,0,,
7012758,1623,"Park Village Dr SB Mid-Block Before Ten Mile Rd","",35.9256,-84.087489,,,0,,,0,,
7012759,1624,"Park Village Dr SB and Ten Mile Rd","",35.923945,-84.087165,,,0,,,0,,
7012760,2739,"Ten Mile Rd EB and Rhodora Rd","",35.924426,-84.084875,,,0,,,0,,
7012761,1625,"Ten Mile Rd EB and Cross Creek Dr","",35.925649,-84.081131,,,0,,,0,,
7012762,2650,"Cross Creek Dr SB and Cross Park Dr","",35.924576,-84.080196,,,0,,,0,,
7012763,2405,"Bridgewater Rd SB after Cross Park Dr","",35.925471,-84.072648,,,0,,,0,,
7013272,1788,"17th St NB and Dale Ave","",35.963009,-83.935827,,,0,,,0,,
7013274,1791,"Middlebrook Pk WB and 21st St","",35.96471,-83.943161,,,0,,,0,,
7013277,1813,"Sutherland Ave WB after Concord St","",35.956648,-83.952877,,,0,,,0,,
7013278,1793,"Sutherland Ave WB and Division St","",35.955158,-83.955789,,,0,,,0,,
7013279,2706,"Division St at Juvenile Court","",35.955272,-83.960706,,,0,,,0,,
7013281,2707,"Division St WB and Liberty St","",35.955576,-83.965422,,,0,,,0,,
7013282,2708,"Liberty St SB and Sutherland Ave","",35.952934,-83.964935,,,0,,,0,,
7013283,1796,"Sutherland Ave WB and Cox St","",35.951564,-83.968428,,,0,,,0,,
7013284,1797,"Sutherland Ave WB and Tobler Ln","",35.949965,-83.972736,,,0,,,0,,
7013285,1798,"Sutherland Ave WB and Jade Rd","",35.947342,-83.978269,,,0,,,0,,
7013287,1800,"Sutherland Ave WB and Renford Rd","",35.945283,-83.98212,,,0,,,0,,
7013288,1801,"Sutherland Ave WB and Forest Hill Blvd","",35.943953,-83.984545,,,0,,,0,,
7013291,1803,"Mohican St SB and Kingston Pike","",35.938635,-83.989002,,,0,,,0,,
7013292,1234,"Forest Park","",35.941527,-83.982709,,,0,,,0,,
7013632,1805,"Forest Park Blvd NB and Sutherland Ave","",35.943756,-83.98453,,,0,,,0,,
7013633,1806,"Sutherland Ave EB after Lebanon St ","",35.945488,-83.98158,,,0,,,0,,
7013634,1807,"Sutherland Ave EB and Jade Rd","",35.947253,-83.978217,,,0,,,0,,
7013635,1808,"Sutherland Ave EB and Tobler Ln","",35.949686,-83.973202,,,0,,,0,,
7013636,1809,"Sutherland Ave EB and Bearden Village Green Way ","",35.951409,-83.968667,,,0,,,0,,
7013637,1810,"Sutherland Ave EB and Liberty St","",35.952674,-83.965031,,,0,,,0,,
7013638,1811,"Sutherland Ave EB and Cary St","",35.954131,-83.960404,,,0,,,0,,
7013639,1812,"Sutherland Ave EB and Emmett St","",35.954765,-83.956785,,,0,,,0,,
7013640,1456,"Sutherland Ave before Concord St","",35.956366,-83.953203,,,0,,,0,,
